cluster,size,assets
0,46,"GOOGL, META, ORCL, INTC, CSCO, ADBE, WMT, COST, HD, MCD, NKE, SBUX, LOW, TGT, BKNG, NFLX, JPM, BAC, WFC, C, MS, GS, BLK, AXP, SCHW, PYPL, UNH, JNJ, PFE, MRK, ABBV, LLY, TMO, DHR, BMY, AMGN, CAT, GE, BA, DE, XOM, CVX, COP, NEE, LIN, RIO"
1,4,"AAPL, MSFT, NVDA, AMZN"
