cluster,asset,weight
0,ABBV,0.021739130434782608
0,ADBE,0.021739130434782608
0,AMGN,0.021739130434782608
0,AXP,0.021739130434782608
0,BA,0.021739130434782608
0,BAC,0.021739130434782608
0,BKNG,0.021739130434782608
0,BLK,0.021739130434782608
0,BMY,0.021739130434782608
0,C,0.021739130434782608
0,CAT,0.021739130434782608
0,COP,0.021739130434782608
0,COST,0.021739130434782608
0,CSCO,0.021739130434782608
0,CVX,0.021739130434782608
0,DE,0.021739130434782608
0,DHR,0.021739130434782608
0,GE,0.021739130434782608
0,GOOGL,0.021739130434782608
0,GS,0.021739130434782608
0,HD,0.021739130434782608
0,INTC,0.021739130434782608
0,JNJ,0.021739130434782608
0,JPM,0.021739130434782608
0,LIN,0.021739130434782608
0,LLY,0.021739130434782608
0,LOW,0.021739130434782608
0,MCD,0.021739130434782608
0,META,0.021739130434782608
0,MRK,0.021739130434782608
0,MS,0.021739130434782608
0,NEE,0.021739130434782608
0,NFLX,0.021739130434782608
0,NKE,0.021739130434782608
0,ORCL,0.021739130434782608
0,PFE,0.021739130434782608
0,PYPL,0.021739130434782608
0,RIO,0.021739130434782608
0,SBUX,0.021739130434782608
0,SCHW,0.021739130434782608
0,TGT,0.021739130434782608
0,TMO,0.021739130434782608
0,UNH,0.021739130434782608
0,WFC,0.021739130434782608
0,WMT,0.021739130434782608
0,XOM,0.021739130434782608
1,AAPL,0.25
1,AMZN,0.25
1,MSFT,0.25
1,NVDA,0.25
