,0,1
2022-11-09,-0.015660634306080154,-0.037870947955511214
2022-11-10,0.04736806563780485,0.10907841612473484
2022-11-11,0.010830633597631615,0.028987963103585757
2022-11-14,-0.005026371374612509,-0.01419141483440603
2022-11-15,0.008727640586644126,0.010236284065457457
2022-11-16,-0.009120530469836354,-0.017566096376101487
2022-11-17,-0.0009643120305716014,-0.0063134027030853634
2022-11-18,0.0041223670308770275,-0.005675536071371917
2022-11-21,-0.004368684565188687,-0.010513924658650003
2022-11-22,0.012612193427859422,0.020511994505128694
2022-11-23,0.004221951371688905,0.0140757574592556
2022-11-24,0.0,0.0
2022-11-25,0.0017936184030718136,-0.010669931947075578
2022-11-28,-0.012729139061669979,-0.017715954511041937
2022-11-29,0.0018163443066799934,-0.013806672534918268
2022-11-30,0.0228916103458876,0.05929390796634104
2022-12-01,-0.0012385980251318617,0.000470623252764063
2022-12-02,-0.000718794055259669,-0.00788413912949748
2022-12-05,-0.016596454008699024,-0.018947737904508627
2022-12-06,-0.013057760904616404,-0.028376962468605216
2022-12-07,-0.0005441699593996079,-0.0015364050020443831
2022-12-08,0.005999389392460269,0.027742977580093475
2022-12-09,-0.008180019864435194,-0.008792220426049463
2022-12-12,0.011995972067956447,0.02326915384686762
2022-12-13,0.005147034663912078,0.01907413180214762
2022-12-14,-0.0044734545180381054,-0.011557430834194471
2022-12-15,-0.02302231933390629,-0.038450487535026
2022-12-16,-0.00819856493849366,-0.015268195909690835
2022-12-19,-0.005300369609029692,-0.021457523622067348
2022-12-20,0.003119281123096807,-0.000532962003660431
2022-12-21,0.01666504747025864,0.01977384914069419
2022-12-22,-0.010523868626055732,-0.03851620631933372
2022-12-23,0.0067541305937366776,0.0020556848338660894
2022-12-26,0.0,0.0
2022-12-27,-5.399037515327928e-05,-0.02964236770380424
2022-12-28,-0.00907747340191507,-0.015412944206473378
2022-12-29,0.013572139611345665,0.0312985836283351
2022-12-30,-0.00033930944093433043,-0.0009633803995883206
2023-01-02,0.0,0.0
2023-01-03,0.0028123480334117487,-0.009299754809714428
2023-01-04,0.012360727713263929,-0.0027586296783899122
2023-01-05,-0.006097835028381533,-0.02419596180855782
2023-01-06,0.01891944808108772,0.03145774789392053
2023-01-09,-0.003959509727159434,0.020112108225765923
2023-01-10,0.008870034049513758,0.014696469635890386
2023-01-11,0.008642880000783197,0.0288042455699698
2023-01-12,0.004830399140183018,0.011196951235876024
2023-01-13,0.007087728979194336,0.01663817279252966
2023-01-16,0.0,0.0
2023-01-17,-0.005607789222104978,0.009964776238502393
2023-01-18,-0.015973433661600353,-0.012190310450014785
2023-01-19,-0.008108840703664967,-0.017469020227280474
2023-01-20,0.014806574678254109,0.03928374465029061
2023-01-23,0.009999714197400374,0.028000609334714932
2023-01-24,0.00021678941022226629,-0.0001793014969051765
2023-01-25,-0.001783776534878214,0.00033262964510036297
2023-01-26,0.007866673136151251,0.022824517279001477
2023-01-27,-0.0013063508253111375,0.018299602091736034
2023-01-30,-0.009211982322313904,-0.029410332673125122
2023-01-31,0.010731803585129637,0.01881563627494004
2023-02-01,0.00553281198937005,0.029847064941474433
2023-02-02,0.005344577527448108,0.048580444637826015
2023-02-03,-0.005411642050675051,-0.02789710179452773
2023-02-06,-0.0047515950120444695,-0.009067399850856195
2023-02-07,0.009586029134788402,0.02799575035291546
2023-02-08,-0.010734864959680603,-0.009871485117569107
2023-02-09,-0.00956821046200008,-0.007679387502331603
2023-02-10,0.005957246257057195,-0.013480286635347949
2023-02-13,0.010629399466257461,0.023604071287778583
2023-02-14,-0.0013282137044709939,0.013702845827608279
2023-02-15,0.0005973621361703911,0.0028858088452232977
2023-02-16,-0.011983493236681906,-0.02507016096219672
2023-02-17,4.500009143148609e-05,-0.015183596411069311
2023-02-20,0.0,0.0
2023-02-21,-0.017093677104999205,-0.027198103631374704
2023-02-22,-0.0037127990939444513,0.0039728074223790155
2023-02-23,0.0007649539243998566,0.03919487265402599
2023-02-24,-0.00837313252287341,-0.019993833660548938
2023-02-27,0.0005454882424016151,0.006008263062098007
2023-02-28,-0.0022808653401336946,-0.0033800915489090866
2023-03-01,-0.0009142024867589216,-0.017762267728602205
2023-03-02,0.0074267226972610885,0.012621890434036775
2023-03-03,0.015237052106260822,0.026627090405991316
2023-03-06,8.22818943671175e-06,-0.0003634605607700514
2023-03-07,-0.017196193886766745,-0.009586034727258608
2023-03-08,0.0005478881851110942,0.012226976042087084
2023-03-09,-0.01947970933441518,-0.017236132631517714
2023-03-10,-0.01362172830754398,-0.016309056685275464
2023-03-13,-0.010465202063570352,0.013371816146533932
2023-03-14,0.017917307861568775,0.028854537399053692
2023-03-15,-0.00966668962608479,0.010305280655132532
2023-03-16,0.012697803387173974,0.038335223468302815
2023-03-17,-0.014207819922594555,0.0006372356133381996
2023-03-20,0.010855249236853569,-0.004002908932304067
2023-03-21,0.01455791981590532,0.01471540285300793
2023-03-22,-0.019043955549500426,-0.00581555515561466
2023-03-23,0.0009317837950843387,0.013527120588277264
2023-03-24,0.0029940618766141993,-0.0005605116164552892
2023-03-27,0.008086618737577116,-0.009351309899090388
2023-03-28,-0.0011285655057884196,-0.005215442680336052
2023-03-29,0.011972608425116427,0.022915720911018234
2023-03-30,0.003639134570551847,0.013688193720561126
2023-03-31,0.014317533685209919,0.014410442413460622
2023-04-03,0.008310996648117998,0.0005597463150383286
2023-04-04,-0.006829542412609825,-0.0016737545515785601
2023-04-05,-0.0010382416177131771,-0.017358015277656735
2023-04-06,0.0009264626216533563,0.011581881957213602
2023-04-07,0.0,0.0
