,PC1,PC2,PC3,PC4
volatility_ann_w1,0.09286105772908282,0.3508876696609066,-0.030442022403725205,0.6521521436288353
volume_avg_w1,0.2941078719999378,0.13059739071187648,-0.33801000431803957,-0.06461551304516891
market_cap_avg_w1,0.2826491018379909,-0.29451496981138386,0.15502570591725334,0.08630256241856259
volatility_ann_w3,0.22126497672175707,0.29212289086448295,0.08256461641018323,0.3754298477106218
volume_avg_w3,0.30457378150345316,0.11684846963370832,-0.2961412026846201,-0.12051763099557412
market_cap_avg_w3,0.2834128915279997,-0.2931976279538104,0.15358265396710705,0.08231334338113423
volatility_ann_w5,0.2027612045866412,0.3306305159165524,0.27231835364781576,0.21439277233409118
volume_avg_w5,0.30675948613059945,0.11122332815141503,-0.28552619873820595,-0.1286681353322698
market_cap_avg_w5,0.2832976651119713,-0.2934230019987788,0.15424750023813857,0.08152299317406833
volatility_ann_w10,0.1418501561729486,0.28359231766194937,0.515763025549536,-0.28601140888661053
volume_avg_w10,0.3128810106736788,0.09743854165993762,-0.23262375662559645,-0.1637920544347532
market_cap_avg_w10,0.28457497604979715,-0.29083214313315525,0.15112874850801197,0.07897965083751841
volatility_ann_w30,0.12316634541166388,0.3294627985712504,0.3949586683203776,-0.40536994422965944
volume_avg_w30,0.30579153090350775,0.10357315147046312,-0.19905093049890765,-0.21503696559970864
market_cap_avg_w30,0.28247521714126467,-0.29422667174874834,0.15694512483206208,0.07891225134935358
