,AAPL,MSFT,NVDA,AMZN,GOOGL,META,ORCL,INTC,CSCO,ADBE,WMT,COST,HD,MCD,NKE,SBUX,LOW,TGT,BKNG,NFLX,JPM,BAC,WFC,C,MS,GS,BLK,AXP,SCHW,PYPL,UNH,JNJ,PFE,MRK,ABBV,LLY,TMO,DHR,BMY,AMGN,CAT,GE,BA,DE,XOM,CVX,COP,NEE,LIN,RIO
2022-11-22,51804100.0,19665700.0,472866000.0,62192000.0,23438500.0,29029000.0,8796200.0,25584100.0,16367800.0,2573800.0,16898400.0,1809100.0,6054700.0,2770400.0,5313200.0,5398600.0,2845700.0,6364100.0,327100.0,6245100.0,9185700.0,23499300.0,11684900.0,13132000.0,3804100.0,2019400.0,605500.0,2124600.0,6901000.0,17402600.0,2567400.0,4707900.0,16358600.0,8295700.0,5351100.0,2460400.0,1503600.0,2042582.0,7075000.0,3636000.0,2523300.0,6797569.0,4370600.0,2195200.0,17719100.0,9018000.0,5604200.0,4105500.0,1010400.0,3134100.0
2022-11-23,58301400.0,19508500.0,427241000.0,59414700.0,18868100.0,21343100.0,6347900.0,23143900.0,12065600.0,2240800.0,16920600.0,1288200.0,4243400.0,2514800.0,3873100.0,5944900.0,2593800.0,4833500.0,254400.0,5919000.0,7316200.0,18934700.0,10878500.0,22863300.0,4961400.0,1865400.0,489000.0,1404400.0,4386400.0,8851700.0,2238300.0,5389200.0,10710800.0,5749600.0,3221100.0,1993000.0,823600.0,1747723.0,5700200.0,2875600.0,2311300.0,5867738.0,3523500.0,5080300.0,11546700.0,5831200.0,7482600.0,4259700.0,954500.0,2248900.0
2022-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-25,35195900.0,9200800.0,167934000.0,35088600.0,9701400.0,12007600.0,2754900.0,11314900.0,8492600.0,1197800.0,8777400.0,744200.0,3393500.0,1596600.0,3426100.0,2320000.0,975700.0,1883000.0,168800.0,3236000.0,3220500.0,16118500.0,4913300.0,6823600.0,2450100.0,1129300.0,301600.0,665800.0,1683400.0,4634500.0,1419200.0,3058600.0,6760200.0,3163700.0,1661900.0,1039100.0,549200.0,979442.0,4735000.0,1220700.0,1034800.0,3040207.0,3476900.0,1135500.0,7136000.0,2796400.0,2547800.0,3622200.0,458500.0,1079600.0
2022-11-28,69246000.0,24778200.0,303741000.0,74943100.0,26237500.0,23309400.0,5112200.0,28267900.0,14976600.0,2314800.0,17674800.0,1684300.0,4733700.0,3160500.0,6967400.0,5257300.0,2202300.0,4624100.0,331400.0,4703400.0,9906900.0,35428300.0,12492600.0,18987100.0,6147700.0,2232200.0,480100.0,1782900.0,5833900.0,11282600.0,2699900.0,6183100.0,20704000.0,9524500.0,3902800.0,2481300.0,1822700.0,2643242.0,6270000.0,2375900.0,2862100.0,6876058.0,5355500.0,1974800.0,23015500.0,9365500.0,5648600.0,6464200.0,2881100.0,2748700.0
2022-11-29,83763800.0,17956300.0,298384000.0,65567300.0,20061700.0,23899200.0,4928200.0,24361500.0,13779300.0,2392600.0,13841700.0,1685700.0,3505600.0,2873500.0,8494400.0,4423900.0,1980900.0,5231700.0,284700.0,5786900.0,7925300.0,27048800.0,13344900.0,12224700.0,5307100.0,1746900.0,698400.0,2655700.0,6043100.0,15491100.0,3751000.0,6700500.0,17160900.0,9352400.0,3689000.0,2207000.0,1195600.0,2438059.0,6439700.0,2135300.0,2277900.0,7205262.0,5077800.0,1643100.0,14453200.0,6985400.0,4909700.0,5398200.0,1888300.0,3820100.0
2022-11-30,111380900.0,47594200.0,565298000.0,102805800.0,43647500.0,43348600.0,9610300.0,72072500.0,29919700.0,4979800.0,31338000.0,3601800.0,15106500.0,5196500.0,16251000.0,15000800.0,4701600.0,11376700.0,444100.0,16070100.0,14761200.0,51747900.0,26417000.0,23993100.0,10520600.0,2964100.0,2757000.0,3914700.0,10237600.0,25747300.0,9688900.0,13288000.0,35572700.0,20305800.0,12342500.0,5556400.0,3132200.0,6479458.0,19261800.0,5776200.0,3850000.0,11654259.0,6778700.0,2397200.0,23158100.0,10936700.0,8484500.0,9739200.0,3115200.0,4925200.0
2022-12-01,71250400.0,26041500.0,470977000.0,68488000.0,28687100.0,36551400.0,6127200.0,38896300.0,18559500.0,3365200.0,22732200.0,6970400.0,3830100.0,2599600.0,7822900.0,7452300.0,2735100.0,4989200.0,291900.0,14664900.0,8858500.0,46213200.0,15980300.0,19797600.0,7310400.0,1706300.0,1103900.0,2670300.0,6122000.0,15189000.0,2997800.0,6282600.0,23592600.0,10110500.0,5827800.0,2516100.0,1423900.0,2243818.0,10308500.0,2914600.0,2504700.0,6806718.0,4517500.0,1747400.0,14398300.0,5217400.0,5285100.0,5830700.0,1420000.0,4277300.0
2022-12-02,65447400.0,21528500.0,371389000.0,72496400.0,21480700.0,39950500.0,4798900.0,31546000.0,12325100.0,2741800.0,20733000.0,3632100.0,3644100.0,2807500.0,5892000.0,7916900.0,3242300.0,3442900.0,270400.0,12690600.0,8931900.0,42295300.0,29820400.0,12745400.0,5197800.0,1932300.0,1142800.0,2285400.0,4227000.0,24238400.0,2346200.0,5823900.0,16881600.0,6943600.0,4304900.0,1925600.0,1014400.0,2042357.0,6366700.0,2267000.0,2218300.0,7191459.0,10563800.0,1471200.0,15248400.0,6852300.0,4879700.0,6316900.0,1200800.0,3632100.0
2022-12-05,68826400.0,23435300.0,352255000.0,71535500.0,24405100.0,35474900.0,9102900.0,34040400.0,13795900.0,2542300.0,23608200.0,2455300.0,5057300.0,2586900.0,6220100.0,9285800.0,3308400.0,6233200.0,279000.0,8423000.0,10154500.0,71386600.0,32574600.0,20397500.0,8272500.0,2329600.0,1100300.0,3013100.0,4943200.0,18317200.0,2424800.0,5120600.0,17959800.0,6961900.0,4859400.0,2296500.0,1824100.0,2464906.0,6791300.0,3274700.0,2064500.0,7568656.0,10456300.0,1467600.0,19287700.0,8162200.0,5478700.0,5511700.0,2145000.0,3487300.0
2022-12-06,64727200.0,22463700.0,352694000.0,75503600.0,24910700.0,43689200.0,7656100.0,27701200.0,15443800.0,2182200.0,20625600.0,2995900.0,3341500.0,3573000.0,7086100.0,8383000.0,3627500.0,4721800.0,262800.0,7195400.0,13966700.0,84085700.0,25961400.0,22160800.0,10424700.0,3081900.0,841000.0,3285100.0,4989600.0,14692600.0,3097700.0,7943500.0,21787100.0,7458700.0,5480400.0,1971000.0,1969700.0,1928880.0,7728800.0,2608800.0,3633800.0,9444207.0,8236900.0,1015900.0,21197000.0,8765000.0,6498400.0,5027700.0,1242100.0,3863100.0
2022-12-07,69721100.0,20481500.0,372388000.0,68086900.0,31045400.0,29461100.0,5105500.0,28239900.0,15171700.0,2055900.0,17550300.0,2072600.0,4038200.0,2766400.0,5751500.0,4194300.0,3999300.0,3685200.0,415400.0,7821600.0,11739400.0,49234100.0,24114900.0,20233400.0,7066700.0,2128200.0,877800.0,2879800.0,5911100.0,24695600.0,2849100.0,5702600.0,15929900.0,8270400.0,4637800.0,1629100.0,952000.0,2225657.0,7799000.0,2492600.0,3044000.0,7801715.0,5871200.0,1433800.0,20061700.0,6936300.0,6099100.0,5108800.0,1849300.0,3027500.0
2022-12-08,62128300.0,22611800.0,515456000.0,73305900.0,32213300.0,30619400.0,5918700.0,28486100.0,16015800.0,2065800.0,13512600.0,2901000.0,3483600.0,3022700.0,6192800.0,5465100.0,3150200.0,3107100.0,314100.0,7205300.0,8907300.0,45491100.0,17161400.0,15622200.0,6141400.0,1967800.0,625800.0,1632400.0,3898800.0,13151100.0,2272300.0,4798500.0,26116800.0,7354800.0,4274400.0,2090900.0,1160400.0,1974451.0,6810100.0,1769800.0,2189400.0,10334231.0,6707700.0,1200200.0,21128800.0,8076600.0,7720400.0,4281700.0,966900.0,3021600.0
2022-12-09,76097000.0,20609700.0,465338000.0,67398500.0,28225400.0,26033400.0,6850800.0,25641300.0,14303200.0,1969200.0,27929400.0,4211100.0,3738800.0,1677400.0,5677700.0,7999600.0,3226900.0,2905900.0,242000.0,14364000.0,7957800.0,36985500.0,16023700.0,14030600.0,6488300.0,1588800.0,549000.0,1761200.0,5098400.0,11781600.0,2852400.0,4561000.0,19933500.0,9667800.0,4644800.0,2787200.0,1157100.0,1913652.0,8857100.0,2205700.0,2257000.0,8899117.0,6359000.0,1340400.0,21298200.0,10754300.0,6385700.0,4460300.0,1262900.0,3386800.0
2022-12-12,70462700.0,30665100.0,457328000.0,61999800.0,29420000.0,24747100.0,15807600.0,35117900.0,15425300.0,2914700.0,19432200.0,2276400.0,4900200.0,3230500.0,6426000.0,5796000.0,2719800.0,4433800.0,335000.0,10148600.0,8841600.0,41060500.0,18428900.0,19045100.0,7496200.0,1750400.0,701300.0,2773900.0,6803900.0,13652800.0,2714100.0,4882400.0,18532200.0,10956600.0,4109400.0,2639200.0,1163000.0,2310031.0,7055200.0,3427400.0,2709200.0,7480054.0,8098400.0,1591700.0,20413200.0,9364900.0,5636500.0,5348900.0,1246900.0,3498600.0
2022-12-13,93886200.0,42196900.0,656589000.0,100212000.0,40593700.0,44701100.0,22812200.0,58546800.0,22705900.0,3428000.0,23408100.0,2626700.0,5787700.0,3390100.0,8655300.0,7066000.0,4168600.0,4178900.0,418900.0,10756400.0,10025400.0,54804800.0,31496000.0,25655400.0,10330500.0,3062600.0,949800.0,3110500.0,10448800.0,20069600.0,3369700.0,9177500.0,29461800.0,15836900.0,5050400.0,5032600.0,1867300.0,2943516.0,15614400.0,3871300.0,2945200.0,12391318.0,10975300.0,1675500.0,24305300.0,7838800.0,6285200.0,7179500.0,1969400.0,4019300.0
2022-12-14,82291200.0,35410900.0,496888000.0,70298000.0,28733600.0,36922000.0,11183100.0,37141100.0,19050400.0,3236500.0,20334600.0,2145000.0,4546000.0,2660900.0,7528500.0,5624000.0,3727700.0,3749100.0,401500.0,7543300.0,9966100.0,48819500.0,22044400.0,16587500.0,7704600.0,2519700.0,549200.0,3556200.0,8753100.0,18298800.0,2654600.0,9533600.0,36260300.0,10788300.0,4485400.0,5095500.0,2079900.0,2940358.0,9197900.0,3795000.0,3513800.0,12271899.0,5814900.0,1767500.0,17597300.0,7045500.0,5927000.0,6111600.0,1824800.0,3312700.0
2022-12-15,98931900.0,35560400.0,478542000.0,84802900.0,40107000.0,34531000.0,8196800.0,45682700.0,19372500.0,5498700.0,17514000.0,3437700.0,5056900.0,2735300.0,7500700.0,7244400.0,3373900.0,5415500.0,342300.0,17724600.0,12087800.0,49027600.0,16766600.0,20201900.0,8795200.0,3163700.0,566500.0,4282200.0,7854500.0,17639900.0,2963800.0,7602400.0,21627100.0,9871400.0,5268300.0,3437100.0,1366900.0,3418968.0,10646000.0,3200400.0,2953200.0,15598294.0,5343200.0,1561900.0,15365100.0,7272900.0,6400900.0,6469100.0,1882800.0,3472400.0
2022-12-16,160156900.0,86102000.0,478232000.0,146144100.0,58011800.0,67064000.0,19200700.0,81104200.0,66125400.0,11940700.0,40343100.0,4909200.0,9615000.0,5932500.0,14083600.0,13862300.0,9543500.0,8367000.0,807900.0,14080000.0,21133700.0,61795200.0,29836200.0,26955400.0,17262000.0,5008800.0,1697100.0,4510600.0,13857700.0,25735200.0,7109100.0,18841800.0,65689500.0,29465900.0,18905500.0,6612200.0,2336400.0,5657822.0,27045600.0,8789000.0,7610700.0,15978540.0,7906800.0,3097300.0,54596600.0,23876000.0,17422600.0,16949300.0,3857600.0,3987800.0
2022-12-19,79592600.0,29696400.0,354039000.0,83531500.0,29493000.0,29769900.0,7738800.0,37662500.0,17986300.0,4086300.0,15067500.0,1939200.0,3000600.0,2160800.0,10620300.0,5771100.0,2442400.0,4186700.0,278500.0,6163700.0,9017200.0,38374100.0,17454200.0,18019100.0,5129600.0,1646700.0,606700.0,2546000.0,6478200.0,15330000.0,1808100.0,5736000.0,16081900.0,6949500.0,4033400.0,2658400.0,1053400.0,2898960.0,8157500.0,2679800.0,2622400.0,7061125.0,6605400.0,1327700.0,13611100.0,7131600.0,4991400.0,5681100.0,1254700.0,2343600.0
2022-12-20,77432800.0,25150800.0,403260000.0,74348300.0,23453800.0,28742500.0,6390200.0,31863300.0,15086200.0,3873600.0,17009400.0,1993700.0,2632200.0,1785600.0,17147900.0,4533500.0,2372200.0,3175400.0,245300.0,6918100.0,8549900.0,35561100.0,25415400.0,14412700.0,5206800.0,1623000.0,590100.0,1607800.0,7110700.0,9470900.0,2086100.0,6174700.0,12433800.0,8022000.0,4221000.0,2276000.0,988600.0,2862187.0,9231600.0,1609100.0,2649900.0,11196647.0,6156800.0,985200.0,14680000.0,6199100.0,5538700.0,4811900.0,1312900.0,2142000.0
2022-12-21,85928000.0,23690600.0,325025000.0,59267200.0,24745600.0,20392800.0,5932400.0,28100900.0,15599400.0,2583000.0,13726500.0,1462400.0,2610400.0,2366800.0,32777300.0,5566300.0,2345400.0,3510200.0,251000.0,6376200.0,8051700.0,32544000.0,20170800.0,22492300.0,5422400.0,1923100.0,652200.0,2107100.0,7123500.0,13861600.0,2182000.0,5472000.0,12925000.0,6640900.0,3707200.0,2211200.0,1208300.0,1852402.0,8469700.0,2057000.0,4143600.0,12127441.0,9175400.0,1220500.0,13565400.0,5479400.0,5433000.0,5356200.0,1723800.0,2350500.0
2022-12-22,77852100.0,28651700.0,565045000.0,81431300.0,27658300.0,23618100.0,8181400.0,47478300.0,23118500.0,2319300.0,13082400.0,1906100.0,3064400.0,2366700.0,17147600.0,4756900.0,2414800.0,3846500.0,252700.0,7856200.0,8648200.0,30234400.0,17382700.0,24476100.0,5635200.0,1528900.0,623200.0,2901100.0,6124600.0,16488200.0,1851600.0,5709100.0,14822300.0,8373700.0,3606000.0,1958100.0,1103300.0,2079017.0,7600600.0,1979100.0,3129900.0,9730074.0,6924800.0,1223600.0,13213000.0,5755000.0,5295400.0,4491000.0,1202200.0,2109600.0
2022-12-23,63814900.0,21207000.0,349326000.0,57433700.0,23003000.0,17796600.0,4129100.0,23600900.0,9554400.0,1629800.0,9547500.0,1229500.0,2064900.0,1269000.0,6603700.0,3944500.0,1469200.0,2464800.0,157800.0,4251100.0,5091900.0,21378600.0,10167500.0,15143800.0,3316100.0,1062000.0,363200.0,1671800.0,4756400.0,9990400.0,1292300.0,3683400.0,10666500.0,4547400.0,2685100.0,1030300.0,621400.0,1236739.0,7029800.0,1465500.0,1959900.0,5286213.0,3983600.0,735600.0,11539400.0,6079100.0,5001500.0,3254700.0,636600.0,1407100.0
2022-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-27,69007800.0,16688600.0,464902000.0,57284000.0,20097300.0,21392300.0,4290700.0,29548100.0,12066200.0,1464300.0,10044600.0,1230800.0,1610200.0,1674700.0,6661100.0,4402500.0,2076600.0,3112500.0,231500.0,5778100.0,5411000.0,22776100.0,10297400.0,14777800.0,7064700.0,1035000.0,325100.0,1858500.0,5346500.0,10323800.0,1596700.0,3067300.0,12033800.0,5125800.0,2669200.0,1372100.0,1050000.0,1275091.0,5971700.0,1604700.0,3381500.0,6804792.0,5014800.0,713800.0,11962100.0,5168000.0,3849400.0,4726500.0,682800.0,1444000.0
2022-12-28,85438400.0,17457100.0,351066000.0,58228600.0,19523200.0,19612500.0,3794000.0,26176900.0,9847400.0,1672100.0,15246300.0,1324100.0,1568200.0,1427800.0,5437800.0,3491500.0,1419900.0,2623200.0,240900.0,5964400.0,8827700.0,30541000.0,11889400.0,12882200.0,3714900.0,1117200.0,457700.0,1490200.0,3382700.0,8897600.0,1694200.0,2645400.0,10053900.0,5107800.0,2944500.0,996000.0,826800.0,1558332.0,5192000.0,1349500.0,2270000.0,6210907.0,4426300.0,821700.0,10702100.0,4494400.0,3856400.0,3536400.0,908900.0,1903800.0
2022-12-29,75703700.0,19770700.0,354923000.0,54995900.0,23333500.0,22366200.0,3867800.0,30944800.0,11396500.0,1793100.0,9171900.0,1465000.0,1559100.0,1393900.0,4588600.0,3976100.0,1270900.0,2829000.0,206600.0,9588500.0,6585200.0,22252900.0,11597100.0,14124100.0,3461700.0,1273600.0,395300.0,1758500.0,3378500.0,13143000.0,1379700.0,2828800.0,8971300.0,4467200.0,3112500.0,1077900.0,1027400.0,1357322.0,4288300.0,1446400.0,1652500.0,7088733.0,4518900.0,835300.0,10534000.0,4142100.0,2921600.0,3378300.0,872300.0,1968900.0
2022-12-30,77034200.0,21938500.0,310490000.0,62401200.0,23986300.0,19583800.0,5375700.0,31030100.0,13199800.0,1740900.0,11505900.0,1803200.0,2581600.0,1720100.0,4355500.0,3988900.0,2154600.0,2391100.0,196700.0,7566900.0,9292500.0,28198900.0,10021500.0,11802800.0,4455600.0,1031400.0,413000.0,2247200.0,5058400.0,10175700.0,1849600.0,4216600.0,11396200.0,5498600.0,3680400.0,1388000.0,686000.0,1701926.0,7029200.0,1622000.0,1521100.0,6625342.0,4007400.0,760200.0,11799600.0,5005100.0,4220500.0,4266900.0,1238000.0,1122800.0
2023-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,112117500.0,25740000.0,401277000.0,76706000.0,28131200.0,35528500.0,8997500.0,31308000.0,17718900.0,2229100.0,17249700.0,1978100.0,2822400.0,2743800.0,8124800.0,6607700.0,2602000.0,3685200.0,266900.0,6764000.0,11054800.0,35221500.0,15944300.0,19564000.0,5108900.0,1589700.0,540800.0,2762200.0,7443200.0,27974200.0,3525600.0,6344900.0,15603800.0,8062500.0,4937500.0,2006700.0,1785800.0,3019318.0,7792300.0,2594800.0,2651900.0,10280781.0,8624600.0,1166300.0,15146200.0,7565400.0,5424400.0,5535400.0,2374200.0,1979000.0
2023-01-04,89113600.0,50623400.0,431324000.0,68885100.0,34854800.0,32397100.0,7836200.0,37665200.0,18339800.0,2186800.0,13338300.0,2097300.0,3560900.0,2584100.0,8550700.0,8166600.0,2507400.0,4443300.0,368100.0,9345100.0,11687600.0,41998500.0,18943600.0,21507200.0,7726800.0,1881000.0,710200.0,2620400.0,6199100.0,19144700.0,5070400.0,9788800.0,21808400.0,8698600.0,4440400.0,1886200.0,1935800.0,2465244.0,9948700.0,1773800.0,2387900.0,21031104.0,9746900.0,1050800.0,18058400.0,7684500.0,4837600.0,4831100.0,2088900.0,1734100.0
2023-01-05,80962700.0,39585600.0,389168000.0,67930800.0,27194400.0,25447100.0,7643800.0,33552600.0,17372100.0,2081600.0,13274400.0,2169300.0,2935100.0,1945600.0,6046700.0,5575100.0,1942300.0,3266000.0,376000.0,8328400.0,8381300.0,34177000.0,12380700.0,12314900.0,5339900.0,1397800.0,686700.0,2505700.0,4562400.0,11113800.0,5497100.0,6255300.0,20057400.0,9578900.0,3516000.0,2008500.0,2220000.0,4158710.0,8112000.0,2056000.0,2355900.0,16001061.0,6913300.0,1485000.0,15946600.0,6088200.0,5177700.0,5472600.0,3133700.0,1581800.0
2023-01-06,87754700.0,43613600.0,405044000.0,83303400.0,41381500.0,27584500.0,8641600.0,31788600.0,20823000.0,2216600.0,21231900.0,5174500.0,4022500.0,2855400.0,10080700.0,9644100.0,3121400.0,4944200.0,350400.0,8959800.0,10029100.0,34068700.0,15247000.0,16736300.0,5710900.0,3097800.0,1215700.0,3077400.0,6462600.0,14167900.0,4841300.0,5706000.0,29635900.0,8632300.0,5099100.0,2131300.0,2938100.0,6586956.0,7311100.0,2887800.0,3945100.0,13018044.0,11256400.0,1042200.0,16348100.0,7191200.0,4442300.0,5235300.0,2538900.0,2810100.0
2023-01-09,70790800.0,27369800.0,504231000.0,65266100.0,29003900.0,26649100.0,7519700.0,37493200.0,13938000.0,3133800.0,17756700.0,2384800.0,3466300.0,2654600.0,9397900.0,10124800.0,2748500.0,3853800.0,271600.0,6766600.0,8482300.0,43818800.0,21225600.0,16745500.0,5039700.0,1989000.0,1102800.0,3219400.0,8036900.0,12966100.0,3702800.0,7925300.0,30839100.0,12858800.0,7833000.0,2980600.0,1871200.0,3325570.0,13005100.0,2160700.0,3417100.0,9488844.0,9005600.0,1200300.0,17964600.0,8385600.0,5403200.0,4749000.0,2471300.0,3126800.0
