PC,Variance_Explained,Cumulative_Variance,Eigenvalue
PC1,0.5848365063793055,0.5848365063793055,8.95157917927508
PC2,0.1962749724208807,0.7811114788001863,3.004208761544091
PC3,0.09735029631808391,0.8784617751182702,1.4900555558890387
PC4,0.06603526318427795,0.9444970383025482,1.0107438242491518
