,AAPL,MSFT,NVDA,AMZN,GOOGL,META,ORCL,INTC,CSCO,ADBE,WMT,COST,HD,MCD,NKE,SBUX,LOW,TGT,BKNG,NFLX,JPM,BAC,WFC,C,MS,GS,BLK,AXP,SCHW,PYPL,UNH,JNJ,PFE,MRK,ABBV,LLY,TMO,DHR,BMY,AMGN,CAT,GE,BA,DE,XOM,CVX,COP,NEE,LIN,RIO
2025-02-11,231.82725524902344,409.1915588378906,132.77108764648438,232.75999450683594,184.71780395507812,718.12255859375,175.87619018554688,20.969999313354492,61.27524948120117,458.82000732421875,101.70535278320312,1054.0093994140625,408.8594970703125,304.9584655761719,70.14759063720703,108.93985748291016,253.08377075195312,128.4525604248047,4870.50048828125,1008.0800170898438,270.68017578125,45.96849060058594,78.33103942871094,79.46697235107422,134.92869567871094,637.439697265625,973.0632934570312,306.9908142089844,82.42672729492188,76.20999908447266,524.5908203125,152.45455932617188,24.200986862182617,84.11734008789062,187.09703063964844,859.8568115234375,543.7172241210938,200.6387176513672,53.87926483154297,289.35723876953125,358.1495361328125,207.87425231933594,180.44000244140625,469.5173645019531,108.65880584716797,152.1453857421875,99.22134399414062,68.66436767578125,456.2928771972656,58.072532653808594
2025-02-12,236.06277465820312,406.8046569824219,131.11143493652344,228.92999267578125,183.0133514404297,723.6895751953125,170.94305419921875,22.479999542236328,61.3734016418457,462.760009765625,102.83684539794922,1060.7615966796875,399.8056640625,302.39263916015625,71.0522232055664,110.91201782226562,246.41770935058594,124.70648193359375,4990.62939453125,1027.31005859375,271.1330261230469,45.3986701965332,77.94744873046875,79.62372589111328,134.2628173828125,639.173095703125,958.7952880859375,303.8471984863281,81.5152816772461,76.2699966430664,518.1847534179688,151.60504150390625,24.144107818603516,83.27168273925781,188.23814392089844,867.7793579101562,536.5072021484375,201.1959991455078,54.081539154052734,287.7966003417969,348.0743103027344,208.69053649902344,186.25,471.75457763671875,105.38961791992188,149.6907958984375,95.9923324584961,67.63922882080078,454.1339111328125,58.439903259277344
2025-02-13,240.70689392089844,408.29644775390625,135.26052856445312,230.3699951171875,185.53512573242188,726.8621826171875,172.5708770751953,24.1299991607666,62.65917205810547,459.2200012207031,104.26610565185547,1072.45361328125,405.0003356933594,304.7716979980469,71.98634338378906,110.87277221679688,248.7808837890625,125.7628173828125,4981.27099609375,1043.68994140625,271.9893798828125,45.51656723022461,77.55401611328125,80.43692016601562,133.9984130859375,639.1238403320312,965.2843017578125,304.93804931640625,80.81187438964844,76.58999633789062,521.898681640625,153.54820251464844,24.30525779724121,82.05668640136719,188.6770477294922,866.676025390625,531.1621704101562,202.59912109375,53.908164978027344,289.65960693359375,349.7156066894531,207.4163360595703,185.44000244140625,461.51885986328125,106.15538024902344,150.63783264160156,94.5290298461914,66.97533416748047,456.59991455078125,59.617366790771484
2025-02-14,243.76644897460938,406.1979675292969,138.81976318359375,228.67999267578125,184.62806701660156,734.9531860351562,172.86866760253906,23.600000381469727,63.670127868652344,460.1600036621094,103.26364135742188,1067.4639892578125,402.12310791015625,303.3265380859375,71.81918334960938,111.03060913085938,247.9242401123047,125.0781478881836,5016.77490234375,1058.5999755859375,272.255126953125,46.135501861572266,78.66545867919922,82.89608001708984,136.06460571289062,650.5481567382812,959.0020751953125,308.44854736328125,79.85763549804688,77.97000122070312,514.36279296875,152.4740753173828,24.200986862182617,80.6861572265625,188.11135864257812,840.696533203125,530.374267578125,205.2959442138672,51.914424896240234,286.2869873046875,349.3398742675781,207.32675170898438,184.4199981689453,475.377685546875,106.26336669921875,151.78103637695312,94.66671752929688,66.4481201171875,452.5889892578125,59.68330764770508
2025-02-17,243.76644897460938,406.1979675292969,138.81976318359375,228.67999267578125,184.62806701660156,734.9531860351562,172.86866760253906,23.600000381469727,63.670127868652344,460.1600036621094,103.26364135742188,1067.4639892578125,402.12310791015625,303.3265380859375,71.81918334960938,111.03060913085938,247.9242401123047,125.0781478881836,5016.77490234375,1058.5999755859375,272.255126953125,46.135501861572266,78.66545867919922,82.89608001708984,136.06460571289062,650.5481567382812,959.0020751953125,308.44854736328125,79.85763549804688,77.97000122070312,514.36279296875,152.4740753173828,24.200986862182617,80.6861572265625,188.11135864257812,840.696533203125,530.374267578125,205.2959442138672,51.914424896240234,286.2869873046875,349.3398742675781,207.32675170898438,184.4199981689453,475.377685546875,106.26336669921875,151.78103637695312,94.66671752929688,66.4481201171875,452.5889892578125,59.68330764770508
2025-02-18,243.6368865966797,407.4013977050781,139.36964416503906,226.64999389648438,183.1728057861328,714.7005615234375,178.4668426513672,27.389999389648438,63.395294189453125,464.1099853515625,103.00557708740234,1051.7088623046875,396.04461669921875,299.6695556640625,76.29312896728516,111.5041275024414,246.86080932617188,127.25929260253906,5113.72119140625,1035.8499755859375,275.5625,45.71305465698242,79.45230102539062,82.9156723022461,137.78807067871094,662.011962890625,962.8816528320312,310.24346923828125,80.99079895019531,78.62000274658203,491.98077392578125,152.55282592773438,24.22942543029785,80.95831298828125,191.407958984375,853.5717163085938,521.638671875,203.53456115722656,52.42489242553711,287.8995361328125,350.0121765136719,209.12855529785156,184.97000122070312,496.50250244140625,108.12866973876953,152.58226013183594,95.8370132446289,66.87770080566406,461.3337707519531,60.45572280883789
2025-02-19,244.03550720214844,412.5033264160156,139.19967651367188,226.6300048828125,184.66795349121094,702.1299438476562,180.17410278320312,25.719999313354492,63.64067077636719,456.989990234375,103.22393798828125,1058.1922607421875,388.30657958984375,296.8284606933594,75.49666595458984,110.97142028808594,242.89266967773438,127.88526916503906,5082.61328125,1043.3299560546875,274.8734436035156,45.20218276977539,79.02936553955078,82.2396469116211,137.7684783935547,658.0331420898438,971.2318115234375,307.337890625,81.51761627197266,78.36000061035156,502.11065673828125,155.4072265625,24.542245864868164,83.20365142822266,192.48081970214844,863.3800048828125,529.3870239257812,203.98236083984375,52.95463562011719,289.3449401855469,349.0234680175781,209.54664611816406,186.14999389648438,504.1347351074219,108.28575134277344,153.6277313232422,97.92192840576172,67.4244384765625,457.6100769042969,59.11811828613281
2025-02-20,244.9922332763672,414.6857604980469,140.07948303222656,222.8800048828125,183.9602508544922,693.220703125,174.6950225830078,26.09000015258789,63.47381591796875,454.69000244140625,96.48460388183594,1030.5955810546875,387.53082275390625,297.919677734375,75.93915557861328,111.8099365234375,242.63665771484375,125.32267761230469,4990.74853515625,1024.5400390625,262.6185607910156,44.5046501159668,77.33763122558594,79.69230651855469,131.5503387451172,632.53515625,974.2252197265625,301.328369140625,81.33869171142578,77.62999725341797,493.6412658691406,157.1690673828125,24.55172348022461,85.22541809082031,195.92373657226562,869.4243774414062,536.3377685546875,206.9379119873047,53.73479461669922,292.94366455078125,345.21685791015625,207.7946319580078,180.8800048828125,490.7906799316406,109.95470428466797,155.15199279785156,100.31171417236328,68.47886657714844,457.44171142578125,60.5593376159668
2025-02-21,244.71319580078125,406.793212890625,134.4007110595703,216.5800018310547,179.076171875,681.95703125,166.5657501220703,24.8700008392334,62.79657745361328,444.32000732421875,94.0727310180664,1030.7947998046875,378.35906982421875,299.64984130859375,75.22134399414062,110.24140930175781,235.49798583984375,121.5472412109375,4963.3095703125,1003.1500244140625,260.09869384765625,44.02325439453125,76.22621154785156,78.03655242919922,128.95535278320312,616.1273193359375,959.29736328125,292.9388427734375,79.95703887939453,74.94999694824219,458.27032470703125,159.7478790283203,24.93090057373047,86.99446868896484,197.0941162109375,869.9819946289062,531.0724487304688,209.20681762695312,53.77332305908203,297.9386901855469,336.20947265625,198.9249725341797,177.14999389648438,485.03924560546875,108.66863250732422,153.3248291015625,96.31891632080078,69.884765625,453.579345703125,59.843441009521484
2025-02-24,246.25791931152344,402.59783935546875,130.2516326904297,212.7100067138672,178.66751098632812,666.572998046875,168.69981384277344,24.270000457763672,62.07027053833008,444.4200134277344,92.97101593017578,1031.3624267578125,375.53094482421875,302.3631591796875,78.93816375732422,111.66197204589844,233.44007873535156,123.0143814086914,5021.4296875,988.469970703125,257.2441101074219,43.67939758300781,75.95082092285156,76.94903564453125,127.27108001708984,616.6592407226562,938.2055053710938,293.0677795410156,79.63896179199219,75.25,453.4559020996094,161.1652374267578,25.26268196105957,88.71491241455078,199.04476928710938,877.6693115234375,534.0640258789062,210.1123809814453,55.747802734375,304.536376953125,335.1020812988281,197.81005859375,179.91000366210938,479.6640319824219,109.23802947998047,154.27261352539062,97.18434143066406,69.12323760986328,454.1042175292969,59.09928512573242
